ID,text,file_relative
900160e2fddb4ac28952c90be4982c93,"Do you still have that archive from the academy world?","segments/Cutscene1/000000.mp3"
81fbe998a97a4d11b7e6114eb2ae56ba,"Specify archive. We passed through seven thousand academic civilizations before departure.","segments/Cutscene1/000001.mp3"
275e2603ca5a46a9a6b75634e883fdd6,"The one with students carrying rifles and halos over their heads. [short pause] Blue city sectors. (emphasis)Too many clubs. (emphasis)Too little supervision.","segments/Cutscene1/000002.mp3"
7204ea977fa940ecaf6040e5166577b5,"Confirmed. Local youths possessed luminous halo structures and disproportionate access to military hardware.","segments/Cutscene1/000003.mp3"
ff02382e646141b99734c6dbf05b9db7,"Their command structure was statistically unsound. [short pause] Also, several cafeterias were classified as strategic targets.","segments/Cutscene1/000004.mp3"
9936ca4a40bc47af8ed77cc8208078bf,"Anomalous resilience is not a governing principle I recommend adopting.","segments/Cutscene1/000005.mp3"
fb4768a4ffe5476a8696cffe1ed105fb,"(chuckling) And still, they survived. Halos, guns, absurd optimism. That world should not have worked.","segments/Cutscene1/000006.mp3"
2fd25422da1f4a0b9638dd36a33e8634,"Final approach remains stable. Surface horizon entering visual range.","segments/Cutscene1/000007.mp3"
284cc56b68f84f208c38810f71447d71,"You sound almost peaceful, Nexus","segments/Cutscene1/000008.mp3"
401e4f204cf94f5a8da1656977845755,"Correction. [short pause] I am reporting an [emphasis] absence of immediate catastrophic failure.","segments/Cutscene1/000009.mp3"
df02e02ccde5487585006ba8638407f4,"New reading. [short pause] Gravitational distortion forming beneath the descent path.","segments/Cutscene1/000010.mp3"
507189518ef14ebdb10604536c8e009d,"[angry]Define distortion. [long pause] we're just fine just moment ago.","segments/Cutscene1/000011.mp3"
f8ec6adc988542dd9417306af233bf0f,"Navigation solution degrading. Thruster alignment drifting. Impact probability rising.","segments/Cutscene1/000012.mp3"
79becacb20e24fe3a60a0dc1d3655367,"[shouting] [angry] Override! Reroute power to stabilizers and give manual correction!","segments/Cutscene1/000013.mp3"
f2479dae50a345f4a92be994210335b8,"Override denied. Reactor shielding compromised. Brace for impact.","segments/Cutscene1/000014.mp3"
ab3bfe58b41143839b091f445466341d,"Systems rebooting... [long pause] Hull integrity at 31%. [short pause] Landing thrusters fired late. [short pause] We are grounded, Architect.","segments/Cutscene1/000015.mp3"
7521f48e954b4bed95b6cadff05a7b1c,"Primary crew complement: one. Status: alive. [short pause] Stress indicators elevated but functional.","segments/Cutscene1/000016.mp3"
72b05ac2652640e79174c7b90dd033d1,"[laughing] Well that changes everything. [clear throat] Functional is enough. [emphasis] We are stranded. [sighing]  [emphasis] Can we launch again?","segments/Cutscene1/000017.mp3"
e82a52606f8f4ee796cec334c4342d82,"Negative. [short pause] The Null-Vector's propulsion array is beyond repair. [emphasis] This landing is permanent, Architect.","segments/Cutscene1/000018.mp3"
dc5debda3d72409c959ebd6967275281,"[emphasis]Recommendation: activate the Supreme Habitation Protocol. This world is hostile but resource-rich. [emphasis] We build here, or we die here.","segments/Cutscene1/000019.mp3"
df472adce682410cba7d23bbae34f0f6,"Then we build. [short pause] Initialize the Colonizing Protocol. [emphasis] Deploy the task-bots.","segments/Cutscene1/000020.mp3"
b1a7b7b96776416893d934dd97b1d0d5,"Acknowledged. [short pause] Be advised - long-range sensors detect biological signatures. Numerous. Organized. [emphasis] They are aware of our arrival.","segments/Cutscene1/000021.mp3"
3b7d3adda1f74793a07e1edc63d48b2d,"Let them watch. [short pause] By the time they understand what we're doing, it will be too late.","segments/Cutscene1/000022.mp3"
4325661158c64d27af9813e22c90629f,"Supreme Habitation Protocol initialized, Bastion has been started. [short pause] The Bastion of Genesis begins, [short pause] Architect.","segments/Cutscene1/000023.mp3"
