ID,text,file_relative
085dcd573bf040e1aae4797aa63b8419,"Energy reserves are low. Scanning for local energy sources... Detected.","segments/Mission1/000000.mp3"
a48fd05790544548a2596d451e1e38a3,"The locals ignore these high-yield Iron Nodes.","segments/Mission1/000001.mp3"
68351543f8dd409b8a62ad875a2bfbe6,"Their ignorance is our gain. Harvest it.","segments/Mission1/000002.mp3"
f1066f073a274309831cc0dec8cbe2e0,"We need power and resources. Now.","segments/Mission1/000003.mp3"
77ae5ddf1b644b8184cc45de7cd55f6e,"Commander, energy reserves are at critical levels.","segments/Mission2/000000.mp3"
389da9d59fca4d6cb86350734a0b5b98,"The reactor alone cannot sustain expansion.","segments/Mission2/000001.mp3"
ac8fbb031dc041c386fa31c2f9966f33,"A Steam Generator will supplement our power grid.","segments/Mission2/000002.mp3"
3a9d5568113f4d7b90eefffe557d48a1,"Nothing runs without power. Get a generator online, priority one.","segments/Mission2/000003.mp3"
b4c5c6fc27fb4b8987bf3ffdcf869dca,"Commander, our Robotic Swarm reserves can be converted into specialized units.","segments/Mission3/000000.mp3"
d036a92a26614ad28609513945e441b7,"The Builder Factory will repurpose swarm units into dedicated Builders for construction.","segments/Mission3/000001.mp3"
277829fea3a84ca592f0d0a2bc074876,"A Researcher Factory produces units for the Laboratory.","segments/Mission3/000002.mp3"
f1ae6c3c76c74e5d9b3313d6d49fb4d8,"Raw swarms are wasted potential.","segments/Mission3/000003.mp3"
504747f6eaa14d32b64d53599054aeb6,"Get those factories running and specialize every last one of them.","segments/Mission3/000004.mp3"
11e19c592f2e47149bfbf063320c9883,"Commander, our Researchers can develop new structural blueprints.","segments/Mission4/000000.mp3"
25ad7743f81a44f19c1932af0c90c79d,"Given sufficient energy and time.","segments/Mission4/000001.mp3"
22f857a42db7492c82369ed8f750dce7,"A Laboratory would enable this.","segments/Mission4/000002.mp3"
6cdeb7b999a44e56946942b467137ac0,"Engineering superiority is how we hold this ground. Build it.","segments/Mission4/000003.mp3"
504660a0de8d48bd909a61d5b656d356,"Our reserves are capped at baseline capacity.","segments/Mission4/000004.mp3"
d7a894ee7b3742d5838c8ddf839b3dd6,"I recommend prioritizing storage infrastructure.","segments/Mission4/000005.mp3"
2446fc7f447945b8ae1fe231a74f8321,"Resource Warehouses, Energy Batteries, and a Robot Bay.","segments/Mission4/000006.mp3"
d19ff323ecd4434cad6a02ca8921a7e3,"Without expanded reserves, further expansion stalls.","segments/Mission4/000007.mp3"
c55227b0581e4b4384e30cd25461436f,"A fortress without stockpiles is just a target. Research them all.","segments/Mission4/000008.mp3"
1fca7759fb6c4393badd3e376d440929,"Long-range sensors are picking up movement beyond the perimeter.","segments/Mission5/000000.mp3"
a64803b728fc4c2299695d7d7c6f72a0,"I recommend stockpiling iron reserves and researching defensive wall structures.","segments/Mission5/000001.mp3"
